"<a target=""_blank"" href=""%s"">agreement</a>","<a target=""_blank"" href=""%s"">agreement</a>"
"You will be redirected to <a target=""_blank"" href=""http://www.payex.com"">PayEx</a> website when you place an order.","You will be redirected to <a target=""_blank"" href=""http://www.payex.com"">PayEx</a> website when you place an order."
"Sign a %s to streamline further purchases with PayEx.","Sign a %s to streamline further purchases with PayEx."
"I accept the agreement","I accept the agreement"
"You already %s the agreement.","You already %s the agreement."
"Payment will be made automatically by credit card.","Payment will be made automatically by credit card."
"Cancel agreement?","Cancel agreement?"
"Cancel agreement","Cancel agreement"
"<a href=""%s"">Cancel agreement</a>","<a href=""%s"">Cancel agreement</a>"
"Selected currency code (%s) is not compatible with PayEx","Selected currency code (%s) is not compatible with PayEx"
"Can't load last transaction.","Can't load last transaction."
"Unable to execute capture. Accept only Authorize transactions.","Unable to execute capture. Accept only Authorize transactions."
"This payment has not yet captured.","This payment has not yet captured."
"Order has been paid","Order has been paid"
"The customer was redirected to PayEx.","The customer was redirected to PayEx."
"Order canceled by user","Order canceled by user"
"Detected an abnormal payment process. Order is canceled.","Detected an abnormal payment process. Order is canceled."
"Payment Menu", "Payment Menu"
"Credit Card", "Credit Card"
"Invoice", "Invoice"
"Direct Debit", "Direct Debit"
"Clean", "Clean"
"Clean older pending orders", "Clean older pending orders"
"Agreement url", "Agreement url"
"Max amount of single transaction", "Max amount of single transaction"
"Selected currency code (%s) is not compatible with PayEx","Selected currency code (%s) is not compatible with PayEx"
"Can't load last transaction.","Can't load last transaction."
"This payment has not yet captured.","This payment has not yet captured."
"Unknown error","Unknown error"
"Discount","Discount"
"Shipping","Shipping"
"Failed to complete action: Bad Session Data","Failed to complete action: Bad Session Data"
"English","English"
"English","English"
"Norway","Norway"
"Danish","Danish"
"Spanish","Spanish"
"German","German"
"Finnish","Finnish"
"French","French"
"Polish","Polish"
"Czech","Czech"
"Hungarian","Hungarian"
"Detected an abnormal payment process. Order is canceled.","Detected an abnormal payment process. Order is canceled."
"The customer was redirected to PayEx.","The customer was redirected to PayEx."
"Order automatically canceled. Failed to complete payment.","Order automatically canceled. Failed to complete payment."
"Order automatically canceled. Payment refused.","Order automatically canceled. Payment refused."
"Order automatically canceled. Transaction is canceled.","Order automatically canceled. Transaction is canceled."
"Payment is accepted";"Payment is accepted"
