"Selected currency code (%s) is not compatible with PayEx","Vald valutakod (%s) är inte kompatibel med PayEx"
"Can't load last transaction.","Kan inte ladda sista transaktionen."
"This payment has not yet captured.","Denna betalning har ännu inte fångats."
"Unknown error","Okänt fel"
"Discount","Rabatt"
"Shipping","Frakt"
"Failed to complete action: Bad Session Data","Misslyckades med att genomföra åtgärden: Dålig sessions data"
"English","Engelska"
"English","Engelska"
"Norway","Norska"
"Danish","Danska"
"Spanish","Spanska"
"German","Tyska"
"Finnish","Finska"
"French","Franska"
"Polish","Polska"
"Czech","Tjekiska"
"Hungarian","Ungerska"
"Detected an abnormal payment process. Order is canceled.","Upptäckte en onormal betalningsprocess. Ordern avbryts."
"The customer was redirected to PayEx.","Kunden skickades till PayEx."
"Order automatically canceled. Failed to complete payment.","Ordern blev automatiskt avbruten. Misslyckades att genomföra betalningen."
"Order automatically canceled. Payment refused.","Ordern blev automatiskt avbruten. Betalningen nekades."
"Order automatically canceled. Transaction is canceled.","Ordern blev automatiskt avbruten. Transaktionen är avbruten."
"Order has been paid";"Ordern har betalats"
"Payment is accepted";"Betalning accepterad"
"Select your bank:","Välj din bank:"
"Nordea Bank";"Nordea Bank"
"Swedbank";"Swedbank"
"Svenska Enskilda Bank";"Svenska Enskilda Bank"
"Handelsbanken";"Handelsbanken"
"Nordea Bank DK";"Nordea Bank DK"
"Den Danske Bank";"Den Danske Bank"
"BankAxess";"BankAxess"
"Sampo";"Sampo"
"Aktia, Säästöpankki";"Aktia, Säästöpankki"
"Osuuspanki, Pohjola, Oko";"Osuuspanki, Pohjola, Oko"
"Nordea Bank Finland";"Nordea Bank Finland"
"SHB:FI";"SHB:FI"
"SPANKKI";"SPANKKI"
"TAPIOLA";"TAPIOLA"
"Ålandsbanken";"Ålandsbanken"
"Time to clean pending orders (0 - disabled)","Tid innan väntande ordrar rensas - (0 = inaktiverad)"
