"Selected currency code (%s) is not compatible with PayEx","Selected currency code (%s) is not compatible with PayEx"
"Can't load last transaction.","Can't load last transaction."
"This payment has not yet captured.","This payment has not yet captured."
"Unknown error","Unknown error"
"Discount","Discount"
"Shipping","Shipping"
"Failed to complete action: Bad Session Data","Failed to complete action: Bad Session Data"
"English","English"
"English","English"
"Norway","Norway"
"Danish","Danish"
"Spanish","Spanish"
"German","German"
"Finnish","Finnish"
"French","French"
"Polish","Polish"
"Czech","Czech"
"Hungarian","Hungarian"
"Social Security Number","Social Security Number"
"Payment fee","Payment fee"
