"Selected currency code (%s) is not compatible with PayEx","Vald valutakod (% s) är inte kompatibel med PayEx", "vald valuta kod (% s) är inte kompatibel med PayEx"
"Can't load last transaction.","Kan inte ladda sista transaktionen."
"This payment has not yet captured.","Denna betalning har ännu inte fångats."
"Unknown error","Okänt fel"
"Discount","Rabatt"
"Shipping","Frakt"
"Failed to complete action: Bad Session Data","Misslyckades med att genomföra åtgärden: Bad Session Data"
"English","English"
"Swedish","Svenska"
"Norway","Norge"
"Danish","Danska"
"Spanish","Spanska"
"German","Tyska"
"Finnish","Finska"
"French","Franska"
"Polish","Polska"
"Czech","Tjeckien"
"Hungarian","Ungerska"
"Social Security Number","Personnummer"
"Payment fee","Betalningsavgift"
