"Selected currency code (%s) is not compatible with PayEx","Selected currency code (%s) is not compatible with PayEx"
"Can't load last transaction.","Can't load last transaction."
"This payment has not yet captured.","This payment has not yet captured."
"Unknown error","Unknown error"
"Discount","Discount"
"Shipping","Shipping"
"Failed to complete action: Bad Session Data","Failed to complete action: Bad Session Data"
"English","English"
"English","English"
"Norway","Norway"
"Danish","Danish"
"Spanish","Spanish"
"German","German"
"Finnish","Finnish"
"French","French"
"Polish","Polish"
"Czech","Czech"
"Hungarian","Hungarian"
"Detected an abnormal payment process. Order is canceled.","Detected an abnormal payment process. Order is canceled."
"The customer was redirected to PayEx.","The customer was redirected to PayEx."
"Order automatically canceled. Failed to complete payment.","Order automatically canceled. Failed to complete payment."
"Order automatically canceled. Payment refused.","Order automatically canceled. Payment refused."
"Order automatically canceled. Transaction is canceled.","Order automatically canceled. Transaction is canceled."
"Order has been paid";"Order has been paid"
"Payment is accepted";"Payment is accepted"
"You will be redirected to <a target=""_blank"" href=""http://www.payex.com"">PayEx</a> website when you place an order.";"You will be redirected to <a target=""_blank"" href=""http://www.payex.com"">PayEx</a> website when you place an order."
